행정구역별,산업별,사업체구분별,2021,2021,2022,2022,2023,2023,2024,2024
행정구역별,산업별,사업체구분별,사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
,,"공장,지사(점),영업소",2046,18252,2403,21699,2218,18713,2264,19292
부  산,전체 산업,계,401254,1544504,400565,1554664,401008,1555085,402419,1563954
,,단독사업체,376671,1098601,375686,1100722,376675,1103709,377478,1090844
,,"본사,본점 등",5536,165027,5746,163583,5582,161384,5731,173197
,,"공장,지사(점),영업소",19047,280876,19133,290359,18751,289992,19210,299913
,"농업, 임업 및 어업(01~03)",계,164,2757,152,2985,139,2915,135,3333
,,단독사업체,145,1626,124,1879,118,1875,109,1777
,,"본사,본점 등",10,353,13,528,11,467,12,932
,,"공장,지사(점),영업소",9,778,15,578,10,573,14,624
,광업(05~08),계,20,85,16,41,13,32,13,33
,,단독사업체,17,75,14,36,11,26,12,31
,,"본사,본점 등",2,X,1,X,1,X,1,X
,,"공장,지사(점),영업소",1,X,1,X,1,X,-,-
,제조업(10~34),계,38105,213028,38067,210883,35062,205191,33609,210397
,,단독사업체,36255,150549,36130,147105,33267,142237,31767,137444
,,"본사,본점 등",919,37714,945,37394,894,36802,940,45117
,,"공장,지사(점),영업소",931,24765,992,26384,901,26152,902,27836
,"전기, 가스, 증기 및 공기조절 공급업(35)",계,299,4130,301,4456,377,4428,504,4714
,,단독사업체,264,497,264,543,334,629,457,798
,,"본사,본점 등",7,763,7,909,11,728,13,867
,,"공장,지사(점),영업소",28,2870,30,3004,32,3071,34,3049
,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,636,7905,681,7853,677,7695,675,7591
,,단독사업체,539,5912,579,5719,579,5697,566,5589
,,"본사,본점 등",39,564,40,743,39,644,45,657
,,"공장,지사(점),영업소",58,1429,62,1391,59,1354,64,1345
,건설업(41~42),계,26204,123951,26465,118404,26182,115039,26395,110035
,,단독사업체,25392,97370,25739,93285,25472,89446,25687,86545
,,"본사,본점 등",414,18268,356,17179,358,19362,362,18279
,,"공장,지사(점),영업소",398,8313,370,7940,352,6231,346,5211
,도매 및 소매업(45~47),계,110109,247220,108084,241934,109774,240302,110241,235313
,,단독사업체,103480,194218,101841,190388,103720,190054,104086,185243
,,"본사,본점 등",1195,13515,1164,13006,1148,13137,1221,12984
,,"공장,지사(점),영업소",5434,39487,5079,38540,4906,37111,4934,37086
,운수 및 창고업(49~52),계,49764,131749,49937,133110,51527,132691,52816,136371
,,단독사업체,48311,92212,48478,92848,50010,92428,51257,94204
,,"본사,본점 등",339,15983,310,16148,321,16030,340,17527
,,"공장,지사(점),영업소",1114,23554,1149,24114,1196,24233,1219,24640
,숙박 및 음식점업(55~56),계,57185,142912,56687,153289,55922,158094,55106,153036
,,단독사업체,55248,124055,54679,131407,53832,135210,53024,130361
,,"본사,본점 등",197,3141,207,3224,225,3530,221,3101
,,"공장,지사(점),영업소",1740,15716,1801,18658,1865,19354,1861,19574
,정보통신업(58~63),계,4111,21361,4376,21702,4536,22775,4655,21228
,,단독사업체,3636,14327,3817,14000,4055,14413,4167,13664
,,"본사,본점 등",139,2589,166,2601,128,2923,124,2560
,,"공장,지사(점),영업소",336,4445,393,5101,353,5439,364,5004
,금융 및 보험업(64~66),계,3981,48854,3812,47844,3836,48280,3894,50537
,,단독사업체,1743,5537,1608,5325,1673,5521,1712,5658
,,"본사,본점 등",191,8094,186,7412,179,7390,181,8030
,,"공장,지사(점),영업소",2047,35223,2018,35107,1984,35369,2001,36849
,부동산업(68),계,20972,47738,21414,47341,21251,46384,20479,44615
,,단독사업체,17985,37211,18258,35478,18193,34386,17361,32206
,,"본사,본점 등",645,2696,745,3169,688,3268,659,3178
,,"공장,지사(점),영업소",2342,7831,2411,8694,2370,8730,2459,9231
,"전문, 과학 및 기술 서비스업(70~73)",계,12634,58661,12707,58659,12728,59574,13410,60567
,,단독사업체,11153,37463,11192,36316,11242,36821,11747,36034
,,"본사,본점 등",555,11966,577,11506,572,11447,588,12780
,,"공장,지사(점),영업소",926,9232,938,10837,914,11306,1075,11753
,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,9303,78673,9083,77706,8763,78448,8394,75767
,,단독사업체,8264,34397,8066,34348,7792,35709,7405,32737
,,"본사,본점 등",259,22795,250,21614,231,19736,247,21209
,,"공장,지사(점),영업소",780,21481,767,21744,740,23003,742,21821
,"공공행정, 국방 및 사회보장 행정(84)",계,723,52452,728,53672,720,52920,697,54720
,,단독사업체,678,49815,678,50823,668,50142,641,52157
,,"본사,본점 등",1,X,2,X,2,X,2,X
,,"공장,지사(점),영업소",44,2618,48,2479,50,2408,54,2435
,교육 서비스업(85),계,16039,104539,16472,105593,17176,104913,17703,106156
,,단독사업체,15146,76178,15588,77510,16309,77340,16837,78989
,,"본사,본점 등",154,7437,150,6920,155,4878,156,4700
,,"공장,지사(점),영업소",739,20924,734,21163,712,22695,710,22467
,보건업 및 사회복지 서비스업(86~87),계,10292,176077,10719,184789,10799,190746,10884,203967
,,단독사업체,9107,107726,9466,113983,9521,121115,9583,125509
,,"본사,본점 등",260,15609,284,16683,292,17382,293,18002
,,"공장,지사(점),영업소",925,52742,969,54123,986,52249,1008,60456
,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,8188,22726,8177,24790,8247,25159,8394,25292
,,단독사업체,7913,18344,7874,19321,7937,19961,8054,20306
,,"본사,본점 등",61,1190,81,1484,70,1080,82,1081
,,"공장,지사(점),영업소",214,3192,222,3985,240,4118,258,3905
,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,32525,59686,32687,59613,33279,59499,34415,60282
,,단독사업체,31395,51089,31291,50408,31942,50699,33006,51592
,,"본사,본점 등",149,2326,262,2692,257,2209,244,2063
